Mark 	Title	Author	Checked Out	Details
	Access denied / Donna Andrews.  	Andrews, Donna. 	03-21-2005 	 
	The dolphins of Laurentum / Caroline Lawrence.  	Lawrence, Caroline. 	03-28-2005 	 
	The assassins of Rome / Caroline Lawrence.  	Lawrence, Caroline. 	03-28-2005 	 
	Foyle's war [videorecording] / Greenlit Productions, produced in association with Paddock Productions ; produced by Simon Passmore and Jill Green ; written and created by Anthony Horowitz ; directed by Jeremy Silberston and David Thacker.  	  	03-28-2005 	 
	Best in show [videorecording] / Castle Rock Entertainment.  	  	03-28-2005 	 
	Butch Cassidy and the Sundance Kid [videorecording] / Twentieth Century Fox.  	  	03-28-2005 	 
	Firebird / Kathy Tyers.  	Tyers, Kathy. 	03-28-2005 	 
	Damia's children / Anne McCaffrey.  	McCaffrey, Anne. 	03-28-2005 	 
	Thunderbirds. Set 1 [videorecording] / a Gerry Anderson production ; produced by Gerry Anderson  	  	04-01-2005 	Volume v1
	Foyle's war [videorecording] / Greenlit Productions, produced in association with Paddock Productions ; produced by Simon Passmore and Jill Green ; written and created by Anthony Horowitz ; directed by Jeremy Silberston and David Thacker.  	  	04-01-2005 	Volume v2
	Fusion fire / by Kathy Tyers.  	Tyers, Kathy. 	04-01-2005 	 
	Foyle's war [videorecording] / Greenlit Productions, produced in association with Paddock Productions ; produced by Simon Passmore and Jill Green ; written and created by Anthony Horowitz ; directed by Jeremy Silberston and David Thacker.  	  	04-01-2005 	Volume v3
	Foyles war. Set 2 [videorecording] / Greenlit Productions Ltd. ; produced by Simon Passmore and Jill Green ; written by Anthony Horowitz, Matthew Hall and Michael Russell ; directed by Giles Foster and Jeremy Silberston.  	  	04-09-2005 	Volume v1
	The cranefly orchid murders / Cynthia Riggs.  	Riggs, Cynthia. 	04-09-2005 	 
	The midsummer rose / Kate Sedley.  	Sedley, Kate. 	04-09-2005 	 
	A matter of roses / David Manuel.  	Manuel, David. 	04-11-2005 	 
	The deadly garden tour / Kathleen Gregory Klein.  	Klein, Kathleen Gregory, 1946- 	04-11-2005 	 
	The cemetery yew / Cynthia Riggs.  	Riggs, Cynthia. 	04-11-2005 	 
	Lawrence of Arabia [videorecording] / Horizon Pictures (G.B.) Ltd.  	  	04-11-2005 	 
	The land girls [videorecording] / Polygram filmed entertainment presents an intermedia film.  	  	04-11-2005 	 
	The serpent on the crown / Elizabeth Peters.  	Peters, Elizabeth, 1927- 	04-21-2005 	 
	The renegades of Pern / Anne McCaffrey.  	McCaffrey, Anne. 	04-21-2005 	 
	Foyles war. Set 2 [videorecording] / Greenlit Productions Ltd. ; produced by Simon Passmore and Jill Green ; written by Anthony Horowitz, Matthew Hall and Michael Russell ; directed by Giles Foster and Jeremy Silberston.  	  	04-21-2005 	Volume v3
	Shrek 2 [videorecording] / DreamWorks SKG ; Pacific Data Images ; DreamWorks Animation ; produced by David Lipman, Aron Warner, John H. Williams ; screenplay by Andrew Adamson and Joe Stillman and J. David Stem & David N. Weiss ; directed by Andrew Adamson, Kelly Asbury, Conrad Vernon.  	  	04-21-2005 	 
	Death at Glamis Castle / Robin Paige.  	Paige, Robin. 	04-21-2005 	 
	Death at Dartmoor / Robin Paige.  	Paige, Robin. 	04-21-2005 	 
	Foyles war. Set 2 [videorecording] / Greenlit Productions Ltd. ; produced by Simon Passmore and Jill Green ; written by Anthony Horowitz, Matthew Hall and Michael Russell ; directed by Giles Foster and Jeremy Silberston.  	  	04-21-2005 	Volume v2
	The chronicles of Pern : first fall / Anne McCaffrey.  	McCaffrey, Anne. 	04-27-2005 	 
	The warlord's son / Dan Fesperman.  	Fesperman, Dan, 1955- 	04-27-2005 	 
	A matter of diamonds / David Manuel.  	Manuel, David. 	04-27-2005 	 
	Corpus Christmas / Margaret Maron.  	Maron, Margaret. 	04-27-2005 	 
	Bloody kin / Margaret Maron. --  	Maron, Margaret. 	04-27-2005 	 
	The Harper Hall of Pern / Anne McCaffrey.  	McCaffrey, Anne. 	04-27-2005 	 
	The blue rose / Anthony Eglin.  	Eglin, Anthony. 	04-27-2005 	 
	The finest creation / Jean Rabe.  	Rabe, Jean. 	04-27-2005 	 
	X-men [videorecording] / Twentieth Century Fox presents in association with Marvel Entertainment Group the Donners' Company/Bad Hat Harry Production a Bryan Singer film.  	  	04-30-2005 	 
	Jeeves & Wooster [videorecording] : the complete third season / Carnival Films for Granada Television ; director, Ferdinand Fairfax ; writer, Clive Exton.  	  	04-30-2005 	 
	Foyles war. Set 2 [videorecording] / Greenlit Productions Ltd. ; produced by Simon Passmore and Jill Green ; written by Anthony Horowitz, Matthew Hall and Michael Russell ; directed by Giles Foster and Jeremy Silberston.  	  	04-30-2005 	Volume v4
	Baby doll games / Margaret Maron.  	Maron, Margaret. 	05-03-2005 	 
	A matter of time : a Faith Abbey mystery / David Manuel.  	Manuel, David. 	05-03-2005 	 
	Spytime : the undoing of James Jesus Angleton : a novel / by William F. Buckley, Jr.  	Buckley, William F. (William Frank), 1925-2008 	05-03-2005 	 
	The bug funeral / Sarah R. Shaber.  	Shaber, Sarah R. 	05-03-2005 	 
	X2 [videorecording] : X-men united / 20th Century Fox ; Bad Hat Harry Productions ; The Donners' Company ; producers, Lauren Shuler Donner, Ralph Winter ; screenplay writers, Michael Dougherty, Dan Harris, David Hayter ; director, Bryan Smith.  	  	05-07-2005 	 
	The paperwhite narcissus / Cynthia Riggs.  	Riggs, Cynthia. 	05-07-2005 	 
	Too many crooks spoil the broth : a Pennsylvania-Dutch mystery with recipes / Tamar Myers.  	Myers, Tamar. 	05-11-2005 	 
	Hair of the dog : a Melanie Travis mystery / by Laurien Berenson.  	Berenson, Laurien. 	05-11-2005 	 
	Parsley, sage, rosemary, and crime / Tamar Myers.  	Myers, Tamar. 	05-17-2005 	 
	Quantum leap. The complete first season [videorecording] / Belisarius Productions.  	  	05-17-2005 	 
	Death in Hyde Park / Robin Paige.  	Paige, Robin. 	05-21-2005 	 
	Code Talker : a novel about the Navajo Marines of World War Two / Joseph Bruchac.  	Bruchac, Joseph, 1942- 	05-21-2005 	 
	Dead man's bones / Susan Wittig Albert.  	Albert, Susan Wittig. 	05-25-2005 	 
	Stick & Whittle / by Sid Hite.  	Hite, Sid. 	05-25-2005 	 
	Rules of engagement / Bruce Alexander.  	Alexander, Bruce, 1932-2003 	05-25-2005 	 
	The haunted abbot : [a mystery of ancient Ireland] / Peter Tremayne.  	Tremayne, Peter. 	05-25-2005 	 
	An unthymely death : and other garden mysteries / Susan Wittig Albert.  	Albert, Susan Wittig. 	06-03-2005 	 
	Too late for angels : an Augusta Goodnight mystery (with recipes) / Mignon F. Ballard.  	Ballard, Mignon Franklin. 	06-03-2005 	 
	Shadow of the giant / Orson Scott Card.  	Card, Orson Scott. 	06-03-2005 	 
	First contacts : the essential Murray Leinster / edited by Joe Rico.  	Leinster, Murray, 1896-1975 	06-03-2005 	 
	Dead man's bones / Susan Wittig Albert.  	Albert, Susan Wittig. 	06-03-2005 	 
	Finding Neverland [videorecording] / Film Colony ; produced by Nellie Bellflower, Richard N. Gladstein ; writer, David Magee ; directed by Marc Forster.  	  	06-03-2005 	 
	Winter of discontent : a Dorothy Martin mystery / Jeanne M. Dams.  	Dams, Jeanne M. 	06-14-2005 	 
	Angel at Troublesome Creek / Mignon F. Ballard.  	Ballard, Mignon Franklin. 	06-14-2005 	 
	All the Weyrs of Pern / Anne McCaffrey.  	McCaffrey, Anne. 	06-14-2005 	 
	The skies of Pern / Anne McCaffrey.  	McCaffrey, Anne. 	06-20-2005 	 
	MacGyver. The complete first season [videorecording] / Paramount Television ; directed by Lee David Zlotoff ... [et al.].  	  	06-20-2005 	 
	Blue Adept / Piers Anthony. --  	Anthony, Piers. 	06-23-2005 	 
	An angel to die for / Mignon F. Ballard.  	Ballard, Mignon Franklin. 	06-23-2005 	 
	The Incredibles [videorecording] / Disney presents a Pixar film ; produced by John Walker ; written by Brad Bird ; directed by Brad Bird.  	  	06-29-2005 	 
	The family trade / Charles Stross.  	Stross, Charles. 	06-29-2005 	 
	The nitrogen murder : a periodic table mystery / Camille Minichino.  	Minichino, Camille. 	06-29-2005 	 
	Conquistador / S.M. Stirling.  	Stirling, S. M. 	07-05-2005 	 
	Scout's progress / Sharon Lee and Steve Miller.  	Lee, Sharon, 1952- 	07-05-2005 	 
	National treasure [videorecording] / Walt Disney Pictures ; Jerry Bruckheimer Films ; Junction Entertainment ; Saturn Films ; produced by Jerry Bruckheimer, Jon Turteltaub ; screenplay, Jim Kouf and Cormac Wibberley & Marianne Wibberley ; story, Jim Kouf, Oren Aviv & Charles Segars ; directed by Jon Turteltaub.  	  	07-05-2005 	 
	Freedom's landing / Anne McCaffrey.  	McCaffrey, Anne. 	07-05-2005 	 
	Singularity sky / Charles Stross.  	Stross, Charles. 	07-05-2005 	 
	Freedom's choice / Anne McCaffrey.  	McCaffrey, Anne. 	07-11-2005 	 
	The masterharper of Pern / Anne McCaffrey.  	McCaffrey, Anne. 	07-11-2005 	 
	Magnum P.I. [videorecording] / Belisarius Productions ; Glen A. Larson Productions ; Universal Televisions ; producers, J. Rickley Dumm, Tom Greene, Rick Weaver ; director, Robert Loggia ... [et al.].  	  	07-11-2005 	 
	Juxtaposition / Piers Anthony.  	Anthony, Piers. 	07-11-2005 	 
	Mission to Moulokin / Alan Dean Foster. --  	Foster, Alan Dean, 1946- 	07-11-2005 	 
	MacGyver. The complete first season [videorecording] / Paramount Television ; directed by Lee David Zlotoff ... [et al.].  	  	07-20-2005 	 
	Freedom's ransom / Anne McCaffrey.  	McCaffrey, Anne. 	07-20-2005 	 
	The fractal murders / Mark Cohen.  	Cohen, Mark, 1958- 	07-20-2005 	 
	Among the hidden / Margaret Peterson Haddix.  	Haddix, Margaret Peterson. 	07-27-2005 	 
	Johnny English [videorecording] / Universal Pictures and Studio Canal present a Working Title production, a Peter Howitt film ; produced by Tim Bevan, Eric Fellner, Mark Huffam ; written by Neal Purvis and Robert Wade, William Davies ; directed by Peter Howitt.  	  	07-27-2005 	 
	Red rabbit [sound recording] / by Tom Clancy.  	Clancy, Tom, 1947- 	07-27-2005 	 
	Thrush Green / Miss Read ; illustrated by J.S. Goodall.  	Read, Miss. 	07-27-2005 	 
	The tale of Holly How / Susan Wittig Albert.  	Albert, Susan Wittig. 	07-27-2005 	 
	Peter and the Starcatchers / by Dave Barry and Ridley Pearson ; illustrations by Greg Call.  	Barry, Dave. 	08-02-2005 	 
	MacGyver. The complete first season [videorecording] / Paramount Television ; directed by Lee David Zlotoff ... [et al.].  	  	08-02-2005 	 
	Magic street / Orson Scott Card.  	Card, Orson Scott. 	08-02-2005 	 
	Maximum Ride : the angel experiment / James Patterson.  	Patterson, James, 1947- 	08-02-2005 	 
	The hanging in the hotel : a Fethering mystery / Simon Brett.  	Brett, Simon. 	08-10-2005 	 
	Magnum P.I. [videorecording] : the complete second season / Universal ; produced in association with Belisarius Productions and Glen A. Larson Productions.  	  	08-10-2005 	 
	Scratch the surface : a cat lover's mystery / Susan Conant.  	Conant, Susan, 1946- 	08-20-2005 	 
	Kung Fu. The complete second season [videorecording] / producers, Alex Beaton, John Furia, Jr., Herman Miller ; created by Ed Spielman ; developed by Herman Miller.  	  	08-20-2005 	 
	Dragon bones / Patricia Briggs.  	Briggs, Patricia. 	08-27-2005 	 
	The hidden family / Charles Stross.  	Stross, Charles. 	08-27-2005 	 
	Bluetick revenge / Mark Cohen.  	Cohen, Mark, 1958- 	09-06-2005 	 
	Bluetick revenge / Mark Cohen.  	Cohen, Mark, 1958- 	09-06-2005 	 
	Dragon blood / Patricia Briggs.  	Briggs, Patricia. 	09-17-2005 	 
	Heaven : a prison diary / Jeffrey Archer.  	Archer, Jeffrey, 1940- 	09-17-2005 	 
	The Burgundian's tale / Kate Sedley.  	Sedley, Kate. 	09-17-2005 	 
	Harry Potter and the half-blood prince / by J.K. Rowling ; illustrations by Mary GrandPré.  	Rowling, J. K. 	10-16-2005 	 
	Pegasus in space / Anne McCaffrey.  	McCaffrey, Anne. 	10-16-2005 	 
	Pier pressure : a Keely Moreno mystery / Dorothy Francis.  	Francis, Dorothy Brenner. 	10-16-2005 	 
	Freedom's choice / Anne McCaffrey.  	McCaffrey, Anne. 	10-16-2005 	 
	The body in the snowdrift / Katherine Hall Page.  	Page, Katherine Hall. 	10-29-2005 	 
	The Rowan / Anne McCaffrey.  	McCaffrey, Anne. 	10-29-2005 	 
	Freedom's challenge / Anne McCaffrey.  	McCaffrey, Anne. 	10-29-2005 	 
	Running from the deity : a Pip & Flinx Adventure / Alan Dean Foster.  	Foster, Alan Dean, 1946- 	11-06-2005 	 
	Damia / Anne McCaffrey.  	McCaffrey, Anne. 	11-06-2005 	 
	The life aquatic with Steve Zissou [videorecording] / Life Aquatic ; Touchstone Pictures ; Scott Rudin Productions ; American Empirical Pictures ; produced by Wes Anderson, Barry Mendel, Scott Rudin ; written by Wes Anderson & Noah Baumbach ; directed by Wes Anderson.  	  	11-12-2005 	 
	Damia's children / Anne McCaffrey.  	McCaffrey, Anne. 	11-12-2005 	 
	Wyrms / Orson Scott Card.  	Card, Orson Scott. 	11-12-2005 	 
	An excellent mystery [sound recording] / by Ellis Peters.  	Peters, Ellis, 1913-1995 	11-20-2005 	 
	Midnight for Charlie Bone / Jenny Nimmo.  	Nimmo, Jenny. 	11-20-2005 	 
	A swiftly tilting planet [sound recording] / written & read by Madeleine L'Engle.  	L'Engle, Madeleine. 	11-20-2005 	 
	Lyon's pride / Anne McCaffrey.  	McCaffrey, Anne. 	11-20-2005 	 
	The tower and the hive / Anne McCaffrey.  	McCaffrey, Anne. 	11-27-2005 	 
	Coach Carter [videorecording] / MTV Music Television Films ; Paramount Pictures presents an MTV Films production ; a Tollin/Robbins production ; a Thomas Carter film ; produced by Brian Robbins and Mike Tollin ; produced by David Gale ; written by Mark Schwahn and John Gatins ; directed by Thomas Carter.  	  	11-27-2005 	 
	The Thief Lord / Cornelia Funke ; [English translation, Oliver Latsch].  	Funke, Cornelia Caroline. 	12-18-2005 	 
	Miracle [videorecording] / Walt Disney Pictures presents a Mayhem Pictures production ; produced by Mark Ciardi and Gordon Gray ; written by Eric Guggenheim ; directed by Gavin O'Connor.  	  	12-18-2005 	 
	The tipping point : how little things can make a big difference / Malcolm Gladwell.  	Gladwell, Malcolm, 1963- 	12-18-2005 	 
	Chamomile mourning / Laura Childs.  	Childs, Laura. 	12-29-2005 	 
	To catch a cat / Marian Babson.  	Babson, Marian. 	12-29-2005 	 
	The Narnian : the life and imagination of C.S. Lewis / Alan Jacobs.  	Jacobs, Alan, 1958- 	12-29-2005 	 
	Happy are the merciful : a Blackie Ryan mystery / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	12-29-2005 	 
	Hulk [videorecording] / Universal Pictures presents in association with Marvel Enterprises, a Valhalla Motion Pictures/Good Machine production, an Ang Lee film ; producers, Gale Ann Hurd, Avi Arad, James Schamus, Larry Franco ; screenplay writer, John Turman, Michael France, James Schamus ; director, Ang Lee.  	  	12-29-2005 	 
	What the #$*! do we (k)now!? [videorecording] / Captured Light Industries [and] Lord of the Wind Films, LLC. presents [sic] ; written by William Arntz, Betsy Chasse, and Matthew Hoffman ; produced by William Arntz and Betsy Chasse ; directed by Mark Vicente, Betsy Chasse, William Arntz.  	  	01-08-2006 	 
	Darkover landfall.  	Bradley, Marion Zimmer. 	01-08-2006 	 
	Fantastic 4 [videorecording] / Twentieth Century Fox presents in association with Constantin Film and Marvel Enterprises, Inc. ; a 1492 Pictures/Bernd Eichinger production ; produced by Bernd Eichinger, Avi Arad, Ralph Winter ; written by Mark Frost and Michael France ; directed by Tim Story.  	  	01-23-2006 	 
	The headmaster's wife / Jane Haddam.  	Haddam, Jane, 1951- 	01-23-2006 	 
	Freakonomics : a rogue economist explores the hidden side of everything / Steven D. Levitt and Stephen J. Dubner.  	Levitt, Steven D. 	01-31-2006 	 
	The chronicles of Pern : first fall / Anne McCaffrey.  	McCaffrey, Anne. 	02-25-2006 	 
	Creature cozies / edited by Jill M. Morgan.  	  	02-25-2006 	 
	Don't think of an elephant! : know your values and frame the debate : the essential guide for progressives / George Lakoff ; foreword by Howard Dean ; introduction by Don Hazen.  	Lakoff, George. 	02-25-2006 	 
	S is for silence / Sue Grafton.  	Grafton, Sue. 	03-19-2006 	 
	Mark of the lion : a Jade del Cameron novel / by Suzanne M. Arruda.  	Arruda, Suzanne Middendorf, 1954- 	03-19-2006 	 
	Dragonseye / Anne McCaffrey.  	McCaffrey, Anne. 	03-19-2006 	 
	Sahara [videorecording] / Paramount Pictures and Bristol Bay Productions present ; in association with Baldwin Entertainment Group ; a j.k. livin production ; a Kanzaman production ; produced by Howard Baldwin ... [et al.] ; screenplay by Thomas Dean Donnelly ... [et al.] ; directed by Breck Eisner.  	  	03-19-2006 	 
	Dragonsblood / Todd McCaffrey.  	McCaffrey, Todd, 1956- 	03-28-2006 	 
	Irish gold / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	04-08-2006 	 
	Star wars. Episode III, Revenge of the Sith [videorecording] / Lucasfilm Ltd. ; produced by Rick McCallum ; written by George Lucas ; directed by George Lucas.  	  	04-08-2006 	 
	Murder most crafty / edited by Maggie Bruce.  	  	04-08-2006 	 
	Saint Ralph [videorecording] / Alliance Atlantis presents an Alliance Atlantis and Amaze Film & Television production ; producers, Seaton McLean, Andrea Mann, Michael Souther and Teza Lawrence ; written and directed by Michael McGowan.  	  	04-08-2006 	 
	The Blight way : a Sheriff Bo Tully mystery / Patrick F. McManus.  	McManus, Patrick F. 	04-08-2006 	 
	The cat who dropped a bombshell / Lilian Jackson Braun.  	Braun, Lilian Jackson. 	04-15-2006 	 
	Grantville gazette. Vol. 1/ edited by Eric Flint.  	  	04-15-2006 	 
	Sea change / Robert B. Parker.  	Parker, Robert B., 1932-2010 	04-23-2006 	 
	The Blight way : a Sheriff Bo Tully mystery / Patrick F. McManus.  	McManus, Patrick F. 	04-23-2006 	 
	Bootlegger's daughter / Margaret Maron.  	Maron, Margaret. 	04-23-2006 	 
	Irish lace : a Nuala Anne McGrail novel / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	04-23-2006 	 
	Death on the Lizard / by Robin Paige.  	Paige, Robin. 	04-30-2006 	 
	Blood ties : a Father Dowling mystery / Ralph McInerny.  	McInerny, Ralph, 1929-2010 	04-30-2006 	 
	Southern discomfort / Margaret Maron.  	Maron, Margaret. 	05-01-2006 	 
	Dinotopia : first flight / written and illustrated by James Gurney.  	Gurney, James, 1958- 	05-01-2006 	 
	Aunt Dimity and the deep blue sea / Nancy Atherton.  	Atherton, Nancy. 	05-07-2006 	 
	Up jumps the Devil / Margaret Maron.  	Maron, Margaret. 	05-11-2006 	 
	Aunt Dimity's death / Nancy Atherton.  	Atherton, Nancy. 	05-11-2006 	 
	Aunt Dimity and the duke / Nancy Atherton.  	Atherton, Nancy. 	05-11-2006 	 
	The score [videorecording] / Paramount Pictures and Mandalay Pictures present a Horseshoe Bay/Lee Rich production ; producers, Gary Foster, Lee Rich ; screenplay writers, Kario Salem, Lem Dobbs, Scott Marshall Smith ; story, Daniel E. Taylor, Kario Salem ; director, Frank Oz.  	  	05-11-2006 	 
	Grantville gazette. Vol. 1/ edited by Eric Flint.  	  	05-11-2006 	 
	Aunt Dimity's Christmas / Nancy Atherton.  	Atherton, Nancy. 	05-13-2006 	 
	The journeys of Socrates / Dan Millman.  	Millman, Dan. 	05-13-2006 	 
	The Wickenham murders / Amy Myers.  	Myers, Amy, 1938- 	05-13-2006 	 
	Grantville gazette II : sequels to 1632 / edited and created by Eric Flint.  	  	05-13-2006 	 
	Home fires / Margaret Maron.  	Maron, Margaret. 	05-20-2006 	 
	Aunt Dimity's good deed / Nancy Atherton.  	Atherton, Nancy. 	05-20-2006 	 
	Shadow of an angel / Mignon F. Ballard.  	Ballard, Mignon Franklin. 	05-20-2006 	 
	Aunt Dimity beats the Devil / Nancy Atherton.  	Atherton, Nancy. 	05-20-2006 	 
	Aunt Dimity digs in / Nancy Atherton.  	Atherton, Nancy. 	06-01-2006 	 
	The angel whispered danger / Mignon F. Ballard.  	Ballard, Mignon Franklin. 	06-05-2006 	 
	Aunt Dimity, detective / Nancy Atherton.  	Atherton, Nancy. 	06-05-2006 	 
	Stargate SG-1. Season 1 [videorecording] / MGM Television Entertainment Inc. ; Double Secret Productions ; Gekko Film Corp.  	  	06-05-2006 	 
	Way of the peaceful warrior : a book that changes lives / Dan Millman. --  	Millman, Dan. 	06-05-2006 	 
	Powers that be / Anne McCaffrey, Elizabeth Ann Scarborough.  	McCaffrey, Anne. 	06-12-2006 	 
	Through the ice / Piers Anthony and Robert Kornwise.  	Anthony, Piers. 	06-12-2006 	 
	K-Pax III : the worlds of Prot / Gene Brewer.  	Brewer, Gene. 	06-12-2006 	 
	Shooting at loons / Margaret Maron.  	Maron, Margaret. 	06-12-2006 	 
	False impression / Jeffrey Archer.  	Archer, Jeffrey, 1940- 	06-17-2006 	 
	Aunt Dimity takes a holiday / Nancy Atherton.  	Atherton, Nancy. 	06-17-2006 	 
	The lost gardens : an English garden mystery / Anthony Eglin.  	Eglin, Anthony. 	06-24-2006 	 
	The mouse that roared [videorecording] / Columbia Pictures Corporation presents ; produced by Walter Shenson ; directed by Jack Arnold ; screenplay by Roger MacDougall and Stanley Mann.  	  	06-24-2006 	 
	Power lines / Anne McCaffrey, Elizabeth Ann Scarborough.  	McCaffrey, Anne. 	06-24-2006 	 
	Tomb of the golden bird / Elizabeth Peters.  	Peters, Elizabeth, 1927- 	06-24-2006 	 
	Shark tale [videorecording] / DreamWorks Animation ; DreamWorks SKG ; Pacific Data Images ; produced by Bill Damaschke, Janet Healy, Allison Lyon Segan ; screenplay, Rob Letterman, Michael J. Wilson ; directed by Bibo Bergeron, Vicky Jenson, Rob Letterman.  	  	06-30-2006 	 
	The crepes of wrath : a Pennsylvania Dutch mystery with recipes / Tamar Myers.  	Myers, Tamar. 	06-30-2006 	 
	A penny urned / Tamar Myers.  	Myers, Tamar. 	06-30-2006 	 
	Killer market / Margaret Maron.  	Maron, Margaret. 	06-30-2006 	 
	Storm track / Margaret Maron.  	Maron, Margaret. 	07-08-2006 	 
	The tale of Cuckoo Brow Wood : the cottage tales of Beatrix Potter / Susan Wittig Albert.  	Albert, Susan Wittig. 	07-08-2006 	 
	Aunt Dimity and the next of kin / Nancy Atherton.  	Atherton, Nancy. 	07-15-2006 	 
	Power play / Anne McCaffrey, Elizabeth Ann Scarborough.  	McCaffrey, Anne. 	07-15-2006 	 
	Aunt Dimity, snowbound / Nancy Atherton.  	Atherton, Nancy. 	07-15-2006 	 
	The clan corporate / Charles Stross.  	Stross, Charles. 	08-05-2006 	 
	Aunt Dimity and the duke / Nancy Atherton.  	Atherton, Nancy. 	08-05-2006 	 
	The Brothers Grimm [videorecording] / Dimension Films and Metro-Goldwyn-Mayer Pictures present a Mosaic Media Group/Daniel Bobker production ; a Terry Gilliam film ; produced by Charles Roven, Daniel Bobker ; written by Ehren Kruger ; directed by Terry Gilliam.  	  	08-05-2006 	 
	The gilded age and later novels / Mark Twain.  	Twain, Mark, 1835-1910. 	08-05-2006 	 
	Uncommon clay / Margaret Maron.  	Maron, Margaret. 	08-05-2006 	 
	The hunt for Sonya Dufrette / R.T. Raichev.  	Raichev, R. T. 	09-16-2006 	 
	Kon-Tiki: across the Pacific by raft. Translated by F. H. Lyon.  	Heyerdahl, Thor. 	09-16-2006 	 
	Saint Peter's fair : the fourth chronicle of Brother Cadfael / Ellis Peters.  	Peters, Ellis, 1913-1995 	09-16-2006 	 
	Widdershins / Charles de Lint.  	De Lint, Charles, 1951- 	09-16-2006 	 
	Glasshouse / Charles Stross.  	Stross, Charles. 	09-23-2006 	 
	The virgin in the ice : the sixth chronicle of Brother Cadfael / Ellis Peters.  	Peters, Ellis, 1913-1995 	09-23-2006 	 
	Indian pipes / Cynthia Riggs.  	Riggs, Cynthia. 	09-23-2006 	 
	The sanctuary sparrow : the seventh chronicle of Brother Cadfael / Ellis Peters.  	Peters, Ellis, 1913-1995. 	10-15-2006 	 
	The holy thief / Ellis Peters.  	Peters, Ellis, 1913-1995 	10-15-2006 	 
